Date Submitted,Workout Date,Activity Type,Calories Burned (kcal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"Dec. 26, 2024","Dec. 26, 2024",Run,704,5.99776,3720,10.3372,0.460292,5.80428,130.352,,7619,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8333470246
"Dec. 23, 2024","Dec. 23, 2024",Run,345,3.00895,1749,9.68777,5.39559,6.19338,11.1202,,4314,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8330235070
"Dec. 14, 2024","Dec. 14, 2024",Run,951,8.01,5111,10.6346,0.0488739,5.64195,1227.65,,8464,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8319159982
"Dec. 10, 2024","Dec. 10, 2024",Run,433,3.74758,2232,9.92641,0.436107,6.04448,137.581,,4715,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8314526536
"Dec. 9, 2024","Dec. 9, 2024",Run,472,4.00764,2503,10.4093,0.458187,5.76408,130.951,,6160,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8312701729
"Dec. 7, 2024","Dec. 7, 2024",Run,582,5.01581,3018,10.0283,0.456517,5.98307,131.43,,8135,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8310302269
"Dec. 4, 2024","Dec. 4, 2024",Run,661,5.58447,3536,10.5531,0.510026,5.68555,117.641,,9945,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8306682439
"Nov. 29, 2024","Nov. 29, 2024",Run,777,6.5,4211,10.7974,0.536653,5.55687,111.804,,8383,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8299756066
"Nov. 23, 2024","Nov. 23, 2024",Run,470,4.00151,2481,10.3336,0.981704,5.8063,61.1182,,6526,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8291488540
"Nov. 16, 2024","Nov. 16, 2024",Run,356,2.99915,1915,10.6419,1.1674,5.63809,51.3964,,4001,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8281082059
"Nov. 16, 2024","Nov. 16, 2024",Run,585,4.99811,3077,10.2605,0.446954,5.84764,134.242,,7268,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8280913492
"Nov. 14, 2024","Nov. 14, 2024",Run,361,3.1,1880,10.1075,1.34408,5.93617,44.6403,,3296,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8277716578
"Nov. 9, 2024","Nov. 9, 2024",Run,470,4.00545,2477,10.305,2.02076,5.8224,29.6918,0,5917,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8269688602
"Oct. 22, 2024","Oct. 22, 2024",Run,589,5.00901,3112,10.3547,0.458656,5.79448,130.817,,7634,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8239041946
"Oct. 19, 2024","Oct. 19, 2024",Run,473,4.08995,2443,9.9553,0.470769,6.02694,127.451,,5442,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8233232002
"Oct. 17, 2024","Oct. 17, 2024",Run,350,3.01301,1821,10.074,0.477191,5.95593,125.736,0,4432,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8229644092
"Oct. 15, 2024","Oct. 15, 2024",Run,353,3.0158,1857,10.2602,5.71874,5.84786,10.4918,0,4982,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8226040471
"Oct. 13, 2024","Oct. 13, 2024",Run,827,7.01,4394,10.447,1.08308,5.74329,55.3977,,9628,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8222375167
"Oct. 9, 2024","Oct. 9, 2024",Run,152,1.5,629,6.98889,1.65368,8.58506,36.2827,,3001,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8210095417
"Oct. 7, 2024","Oct. 7, 2024",Run,552,4.50902,3093,11.4286,0.538405,5.24997,111.44,0,7900,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8205659380
"Oct. 5, 2024","Oct. 5, 2024",Run,586,5.0023,3086,10.2819,0.452155,5.83548,132.698,,8741,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8202442672
"Sept. 29, 2024","Sept. 29, 2024",Run,1211,9.99809,6697,11.1638,1.10527,5.37451,54.2856,,16490,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8191782490
"Sept. 24, 2024","Sept. 24, 2024",Run,473,4.01411,2514,10.4382,0.474759,5.74813,126.38,,6579,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8182978987
"Sept. 21, 2024","Sept. 21, 2024",Run,709,6.00535,3772,10.4684,0.897169,5.73151,66.877,,10122,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8177500621
"Sept. 17, 2024","Sept. 17, 2024",Run,463,4.0,2388,9.95,0.850616,6.03015,70.5371,,5720,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8169778795
"Sept. 14, 2024","Sept. 14, 2024",Run,367,3.11,1951,10.4555,0.488886,5.7386,122.728,,3419,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8163984547
"Sept. 9, 2024","Sept. 9, 2024",Run,712,6.0061,3821,10.6031,0.306149,5.65872,195.983,,10149,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8154762076
"Sept. 7, 2024","Sept. 7, 2024",Run,529,4.51153,2787,10.2958,0.925804,5.8276,64.8085,,7131,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8150989741
"Sept. 4, 2024","Sept. 4, 2024",Run,350,3.00258,1827,10.1413,7.40177,5.91641,8.10617,,3913,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8145310063
"Aug. 30, 2024","Aug. 30, 2024",Run,355,3.004,1891,10.4916,0.404929,5.71888,148.174,,4958,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8135931409
"Aug. 25, 2024","Aug. 25, 2024",Run,725,6.00001,4219,11.7194,0.433764,5.11971,138.324,,11766,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8126276596
"Aug. 22, 2024","Aug. 22, 2024",Run,350,3.00986,1821,10.0835,0.978876,5.9503,61.2948,,5067,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8120537896
"Aug. 18, 2024","Aug. 18, 2024",Run,596,5.00078,3560,11.8648,0.0103637,5.05697,5789.46,,8983,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8113145191
"Aug. 16, 2024","Aug. 16, 2024",Run,362,3.08,1909,10.3301,1.0159,5.80828,59.0609,,4788,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8109779065
"Aug. 3, 2024","Aug. 3, 2024",Run,594,5.2,3001,9.61859,0,6.23792,0,,8116,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8085350713
"Aug. 1, 2024","Aug. 1, 2024",Run,359,3.06931,1886,10.2412,1.02019,5.8587,58.8124,,5085,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8081720932
"July 27, 2024","July 27, 2024",Run,546,4.5,3153,11.6778,1.0655,5.13796,56.3117,,7441,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8072151208
"July 24, 2024","July 24, 2024",Run,585,5.01,3068,10.4,0.669046,5.76923,89.68,,8142,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8066532004
"July 19, 2024","July 19, 2024",Run,365,3.00055,2027,11.259,1.17717,5.32905,50.9695,,4837,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8057386966
"July 17, 2024","July 17, 2024",Run,933,8.02,5905,12.2714,1.22313,4.88942,49.0546,,13514,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8053544728
"July 13, 2024","July 13, 2024",Run,428,3.75,2162,9.60889,0,6.24422,0,,5848,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8046326302
"July 13, 2024","July 12, 2024",Sport / Other Activity,568,3.0,3600,20.0,0,3.0,0,,6836,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/8045148364
"July 13, 2024","July 12, 2024",Sport / Other Activity,757,4.0,4800,20.0,0,3.0,0,,9115,b'',Map My Fitness MapMyFitness iPhone,http://www.mapmyfitness.com/workout/8045147167
"July 10, 2024","July 10, 2024",Run,377,3.25,1949,9.99487,0,6.00308,0,,5248,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8041150789
"June 26, 2024","June 26, 2024",Run,382,3.26,2014,10.2965,1.07439,5.82721,55.8457,,2867,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8014414660
"June 24, 2024","June 24, 2024",Run,614,5.04,3425,11.3261,1.07869,5.29752,55.6232,,6935,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8010262828
"June 20, 2024","June 20, 2024",Run,353,3.01575,1860,10.1167,1.44452,5.93081,41.5363,,4528,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/8003023471
"June 18, 2024","June 18, 2024",Run,442,4.0,2006,10.0167,0.471509,5.99002,127.251,,5060,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7999099789
"June 15, 2024","June 15, 2024",Run,525,4.5,2742,10.1556,0,5.9081,0,,7370,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7993932766
"June 11, 2024","June 11, 2024",Run,356,3.0057,1900,10.5355,1.00661,5.69501,59.6061,,5209,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7986016960
"June 8, 2024","June 8, 2024",Run,340,3.0,1691,9.39444,0,6.38675,0,,4550,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7978656403
"June 5, 2024","June 5, 2024",Run,345,2.94644,1815,10.2611,0.462854,5.84732,129.63,0,4654,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7974041491
"June 3, 2024","June 3, 2024",Run,489,4.25,2508,9.83529,1.16488,6.10048,51.5075,,6174,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7969755061
"May 28, 2024","May 28, 2024",Run,347,3.0,1790,9.94444,0,6.03352,0,,4823,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7958659615
"May 26, 2024","May 26, 2024",Run,397,3.4,2078,10.1863,0,5.89028,0,,5584,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/7955100607
